FechaHora,Folio,Mensaje,Resultado
2025-10-28 21:32:20,OV-533736-F2,📦 Nuevo pedido detectado: *OV-533736-F2* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 21:34:20,OV-533692-F1,📦 Nuevo pedido detectado: *OV-533692-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 21:43:24,OV-533723-F1,📦 Nuevo pedido detectado: *OV-533723-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 21:48:27,OV-533750-F1,📦 Nuevo pedido detectado: *OV-533750-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 09:25:55,OV-533831-F1,📦 Nuevo pedido detectado: *OV-533831-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 09:35:04,OV-533827-F1,📦 Nuevo pedido detectado: *OV-533827-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 10:36:43,OV-533835-F2,📦 Nuevo pedido detectado: *OV-533835-F2* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 11:38:18,OV-533773-F1,📦 Nuevo pedido detectado: *OV-533773-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 11:39:18,OV-533995-F1,📦 Nuevo pedido detectado: *OV-533995-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 11:48:22,OV-533988-F1,📦 Nuevo pedido detectado: *OV-533988-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 12:16:04,OV-533828-F1,📦 Nuevo pedido detectado: *OV-533828-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 12:21:08,OV-534060-F1,📦 Nuevo pedido detectado: *OV-534060-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 12:39:21,OV-534089-F1,📦 Nuevo pedido detectado: *OV-534089-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-29 12:44:25,OV-534076-F1,📦 Nuevo pedido detectado: *OV-534076-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
